x,y
453.0499878,214.2100067
458.3556519,217.074646
463.5319824,220.1669769
468.5802307,223.4644318
473.5051575,226.943512
478.3130188,230.5827179
483.0133362,234.3598938
487.616333,238.2551575
492.1333618,242.2498627
496.576416,246.3267365
500.9590149,250.4685516
505.2943726,254.6598358
511.0793457,255.3582153
516.4751282,254.9292755
511.2864685,252.0919952
511.791687,251.700943
517.7589722,252.4627838
522.8156433,255.6342926
526.8894043,260.0698547
528.6997681,265.541153
522.9528503,266.7823944
518.1183167,267.5434418
522.2217712,271.9619751
526.3399963,276.3668213
531.349884,278.6382141
536.5587158,281.5252075
540.6811523,285.9208984
544.2896729,290.7455139
545.9925537,296.3892212
540.7906494,296.3258362
536.1490479,292.4918213
531.8178101,288.2962646
527.4927063,284.0943298
523.1879883,279.8715515
518.9155884,275.6161499
514.690155,271.3140869
510.3711853,267.3256073
504.3431091,267.4803314
498.3133545,267.5419769
492.2835388,267.4919128
486.8551331,267.7004852
489.6906738,273.0219727
492.4960327,278.3591614
494.8317871,283.9141235
495.1431885,289.7667542
490.7875977,293.6394043
485.1104431,292.2290344
480.086731,288.9012451
475.338562,285.1845093
470.8750305,281.3377686
473.4875793,280.4350281
478.8356628,283.2140503
483.2225647,281.4995422
480.9612427,275.9169922
478.2073059,270.5528259
474.3282166,266.8460541
468.3210754,266.3227844
464.3697205,261.990921
460.6454163,257.2488861
461.0946045,253.849762
467.1139221,253.5832977
467.0318604,249.9371948
463.7878113,245.4056854
457.9592285,244.4185181
452.3980103,242.0872955
446.7536316,239.9681091
446.2264099,239.1125336
452.2093811,239.8598328
456.2874146,239.6376648
450.9884949,236.7912903
445.3439026,234.6713104
439.6004639,232.8365326
433.7626343,231.3293304
427.8415527,230.1938324
429.9607849,234.2312012
433.4527283,239.1473999
436.8957214,244.0978851
440.2698975,249.0955658
443.5551758,254.1520691
446.730957,259.2779694
449.7758789,264.482666
452.667511,269.773941
455.3830566,275.1576538
457.6811218,280.7230835
458.6357422,286.6594238
457.5753174,292.4945374
451.8923035,293.8527832
445.8755188,293.4847717
439.9143066,292.5877075
434.0480347,291.1988831
428.3078918,289.3561401
422.7191772,287.0948486
417.3027649,284.4471741
412.1051025,281.3935242
407.1743164,277.9252625
402.563446,274.0422668
398.3427734,269.7391052
394.5961609,265.0179901
391.4178467,259.8977203
388.9365845,254.4083099
387.3952637,248.5858154
386.8569641,242.5872498
387.3907166,236.5895996
389.0819702,230.8126526
391.9803772,225.539978
396.1283569,221.1880341
401.2261658,217.9919434
406.8787842,215.9176331
412.8067627,214.8486481
